"PathSelectionPolicy","HBAName","LUN","Host","Source","Status","Target","Path"
"Fixed","vmhba0:C0:T0:L0","0","ukixevsh158.uk.kworld.kpmg.com","","Active",,"sata.vmhba0-sata.0:0-mpx.vmhba0:C0:T0:L0"
"Fixed","vmhba1:C0:T0:L1","1","ukixevsh158.uk.kworld.kpmg.com","","Active",,"sas.50014380181d8740-sas.14380181d8740-naa.600508b1001c374c99234fc4b7972ca3"
"MostRecentlyUsed","vmhba2:C0:T0:L1","1","ukixevsh158.uk.kworld.kpmg.com","10:00:00:00:c9:e3:f6:11","Standby","50:06:01:61:4B:A0:49:6F","fc.20000000c9e3f22d:10000000c9e3f22d-fc.50060160cba0496f:500601614ba0496f-naa.6006016032d02200aad3ddd6d8ede111"
"MostRecentlyUsed","vmhba2:C0:T0:L1","1","ukixevsh158.uk.kworld.kpmg.com","10:00:00:00:c9:e3:f6:11","Active","50:06:01:68:4B:A0:49:6F","fc.20000000c9e3f22d:10000000c9e3f22d-fc.50060160cba0496f:500601684ba0496f-naa.6006016032d02200aad3ddd6d8ede111"
"MostRecentlyUsed","vmhba2:C0:T0:L1","1","ukixevsh158.uk.kworld.kpmg.com","10:00:00:00:c9:e3:f6:11","Standby","50:06:01:60:4B:A0:49:6F","fc.20000000c9e3f611:10000000c9e3f611-fc.50060160cba0496f:500601604ba0496f-naa.6006016032d02200aad3ddd6d8ede111"
"MostRecentlyUsed","vmhba2:C0:T0:L1","1","ukixevsh158.uk.kworld.kpmg.com","10:00:00:00:c9:e3:f6:11","Standby","50:06:01:69:4B:A0:49:6F","fc.20000000c9e3f611:10000000c9e3f611-fc.50060160cba0496f:500601694ba0496f-naa.6006016032d02200aad3ddd6d8ede111"
"MostRecentlyUsed","vmhba2:C0:T0:L2","2","ukixevsh158.uk.kworld.kpmg.com","10:00:00:00:c9:e3:f6:11","Standby","50:06:01:61:4B:A0:49:6F","fc.20000000c9e3f22d:10000000c9e3f22d-fc.50060160cba0496f:500601614ba0496f-naa.6006016032d022006007d7f3d8ede111"
"MostRecentlyUsed","vmhba2:C0:T0:L2","2","ukixevsh158.uk.kworld.kpmg.com","10:00:00:00:c9:e3:f6:11","Standby","50:06:01:68:4B:A0:49:6F","fc.20000000c9e3f22d:10000000c9e3f22d-fc.50060160cba0496f:500601684ba0496f-naa.6006016032d022006007d7f3d8ede111"
"MostRecentlyUsed","vmhba2:C0:T0:L2","2","ukixevsh158.uk.kworld.kpmg.com","10:00:00:00:c9:e3:f6:11","Standby","50:06:01:60:4B:A0:49:6F","fc.20000000c9e3f611:10000000c9e3f611-fc.50060160cba0496f:500601604ba0496f-naa.6006016032d022006007d7f3d8ede111"
"MostRecentlyUsed","vmhba2:C0:T0:L2","2","ukixevsh158.uk.kworld.kpmg.com","10:00:00:00:c9:e3:f6:11","Active","50:06:01:69:4B:A0:49:6F","fc.20000000c9e3f611:10000000c9e3f611-fc.50060160cba0496f:500601694ba0496f-naa.6006016032d022006007d7f3d8ede111"
"MostRecentlyUsed","vmhba2:C0:T0:L4","4","ukixevsh158.uk.kworld.kpmg.com","10:00:00:00:c9:e3:f6:11","Standby","50:06:01:61:4B:A0:49:6F","fc.20000000c9e3f22d:10000000c9e3f22d-fc.50060160cba0496f:500601614ba0496f-naa.6006016032d0220078494625d9ede111"
"MostRecentlyUsed","vmhba2:C0:T0:L4","4","ukixevsh158.uk.kworld.kpmg.com","10:00:00:00:c9:e3:f6:11","Standby","50:06:01:68:4B:A0:49:6F","fc.20000000c9e3f22d:10000000c9e3f22d-fc.50060160cba0496f:500601684ba0496f-naa.6006016032d0220078494625d9ede111"
"MostRecentlyUsed","vmhba2:C0:T0:L4","4","ukixevsh158.uk.kworld.kpmg.com","10:00:00:00:c9:e3:f6:11","Standby","50:06:01:60:4B:A0:49:6F","fc.20000000c9e3f611:10000000c9e3f611-fc.50060160cba0496f:500601604ba0496f-naa.6006016032d0220078494625d9ede111"
