"Name","Access","Description","Author","Team","LastModified","ModifiedBy"
"NewKSLog","Private","Create a new log file and retrieve event log codes.","Chris Dent","Core Technologies","07/08/2014","Chris Dent"
"Close-KSLog","Public","Close an existing log file.","Chris Dent","Core Technologies","09/07/2014","Chris Dent"
"Compare-KSArray","Public","Compares two arrays to determine equality.","Chris Dent","Core Technologies","06/10/2014","Chris Dent"
"ConvertFrom-KSTokenString","Public","Convert from a token string to an object.","Chris Dent","Core Technologies","26/06/2014","Chris Dent"
"ConvertFrom-KSXPathNode","Public","Convert from an XPathDocumentNavigator node-set to the specified type.","Chris Dent","Core Technologies","24/10/2014","Chris Dent"
"ConvertTo-KSByte","Public","Converts a value to a byte array.","Chris Dent","Core Technologies","24/06/2014","Chris Dent"
"ConvertTo-KSString","Public","Converts a byte array to a string value.","Chris Dent","Core Technologies","24/06/2014","Chris Dent"
"ConvertTo-KSTokenString","Public","Convert an object to string of text tokens; property/value pairs.","Chris Dent","Core Technologies","26/06/2014","Chris Dent"
"ConvertTo-KSType","Public","Convert a value to a named type.","Chris Dent","Core Technologies","19/11/2014","Chris Dent"
"ConvertTo-KSXml","Public","Convert an object to a simple XML structure.","Chris Dent","Core Technologies","27/10/2014","Chris Dent"
"Get-KSCommandParameters","Public","Get the parameters used by a command, excluding common parameters.","Chris Dent","Core Technologies","23/07/2014","Chris Dent"
"Get-KSEventLogCode","Public","Get event log codes used by KScript scripts or modules.","Chris Dent","Core Technologies","09/07/2014","Chris Dent"
"Get-KSHash","Public","Get a hash for the requested object.","Chris Dent","Core Technologies","20/06/2014","Chris Dent"
"Get-KSLog","Public","Get active log files within the current session.","Chris Dent","Core Technologies","09/07/2014","Chris Dent"
"Get-KSModule","Public","Get a list of available KScript.* modules from the local system.","Chris Dent","Core Technologies","10/07/2014","Chris Dent"
"Get-KSSetting","Public","Get global settings used by KScript modules.","Chris Dent","Core Technologies","07/08/2014","Chris Dent"
"Get-KSSMTPConfiguration","Public","Get SMTP configuration for the script from the global configuration resource.","Chris Dent","Core Technologies","24/07/2014","Chris Dent"
"Get-KSTextResource","Public","Get text-based shared resources.","Chris Dent","Core Technologies","07/07/2014","Chris Dent"
"Install-KSModule","Public","Installs or updates KScript.* modules.","Chris Dent","Core Technologies","07/08/2014","Chris Dent"
"New-KSDynamicModuleBuilder","Public","Creates a new assembly and a dynamic module within the current AppDomain.","Chris Dent","Core Technologies","11/06/2014","Chris Dent"
"New-KSDynamicParameter","Public","Create a new dynamic parameter object for use with a dynamicparam block.","Chris Dent","Core Technologies","24/10/2014","Chris Dent"
"New-KSEnum","Public","Creates a new enum (System.Enum) from a hashtable using an existing dynamic module.","Chris Dent","Core Technologies","11/06/2014","Chris Dent"
"New-KSXPathNavigator","Public","Create a new XPathNavigator.","Chris Dent","Core Technologies","04/07/2014","Chris Dent"
"Remove-KSEventLogCode","Public","Remove a set of saved event log codes.","Chris Dent","Core Technologies","15/07/2014","Chris Dent"
"Remove-KSSetting","Public","Remove a global setting for KScript modules.","Chris Dent","Core Technologies","04/07/2014","Chris Dent"
"Set-KSEventLogCode","Public","Set event log codes for use by a handle.","Chris Dent","Core Technologies","09/07/2014","Chris Dent"
"Set-KSSetting","Public","Set a setting for KScript modules.","Chris Dent","Core Technologies","07/08/2014","Chris Dent"
"Set-KSXPathAttribute","Public","Set an attribute using the XPathNavigator object.","Chris Dent","Core Technologies","09/12/2014","Chris Dent"
"Start-KSAutoUpdate","Public","Start an update process for all installed KScript.* modules.","Chris Dent","Core Technologies.","04/07/2014","Chris Dent"
"Start-KSLogRotate","Public","Start rotating log files.","Chris Dent","Core Technologies","19/08/2014","Chris Dent"
"Update-KSPropertyOrder","Public","Update the order of properties on an object.","Chris Dent","Core Technologies","04/12/2014","Chris Dent"
"Write-KSLog","Public","Write a message to the event log or a log file (or both).","Chris Dent","Core Technologies","07/08/2014","Chris Dent"
