"Name","Access","Description","Author","Team","LastModified","ModifiedBy"
"ConvertFromKSDnsDomainName","Private","Converts a DNS domain name from a string to a byte array.","","","",""
"ConvertToKSDnsDomainName","Private","Converts a DNS domain name from a byte stream to a string. This CmdLet also expands compressed names.","","","",""
"NewKSDnsMessage","Private","Reads a DNS message from a byte stream.","","","",""
"NewKSDnsMessageHeader","Private","Creates a new DNS message header.","","","",""
"NewKSDnsMessageQuestion","Private","Creates a new DNS message question.","","","",""
"NewKSDnsOPTRecord","Private","Creates a new OPT record instance for advertising DNSSEC support.","","","",""
"NewKSDnsSOARecord","Private","Creates a new SOA record instance for use with IXFR queries.","","","",""
"ReadKSDnsA6Record","Private","Reads properties for an CERT record from a byte stream.","","","",""
"ReadKSDnsAAAARecord","Private","Reads properties for an AAAA record from a byte stream.","","","",""
"ReadKSDnsAFSDBRecord","Private","Reads properties for an AFSDB record from a byte stream.","","","",""
"ReadKSDnsAPLRecord","Private","Reads properties for an APL record from a byte stream.","","","",""
"ReadKSDnsARecord","Private","Reads properties for an A record from a byte stream.","","","",""
"ReadKSDnsATMARecord","Private","Reads properties for an ATMA record from a byte stream.","","","",""
"ReadKSDnsCERTRecord","Private","Reads properties for an CERT record from a byte stream.","","","",""
"ReadKSDnsCharacterString","Private","Reads a character-string from a DNS message.","","","",""
"ReadKSDnsCNAMERecord","Private","Reads properties for an CNAME record from a byte stream.","","","",""
"ReadKSDnsDHCIDRecord","Private","Reads properties for an DHCID record from a byte stream.","","","",""
"ReadKSDnsDLVRecord","Private","Reads properties for an DLV record from a byte stream.","","","",""
"ReadKSDnsDNAMERecord","Private","Reads properties for an DNAME record from a byte stream.","","","",""
"ReadKSDnsDNSKEYRecord","Private","Reads properties for an DNSKEY record from a byte stream.","","","",""
"ReadKSDnsDSRecord","Private","Reads properties for an DS record from a byte stream.","","","",""
"ReadKSDnsEIDRecord","Private","Reads properties for an EID record from a byte stream.","","","",""
"ReadKSDnsGPOSRecord","Private","Reads properties for an GPOS record from a byte stream.","","","",""
"ReadKSDnsHINFORecord","Private","Reads properties for an HINFO record from a byte stream.","","","",""
"ReadKSDnsHIPRecord","Private","Reads properties for an HIP record from a byte stream.","","","",""
"ReadKSDnsIPSECKEYRecord","Private","Reads properties for an IPSECKEY record from a byte stream.","","","",""
"ReadKSDnsISDNRecord","Private","Reads properties for an ISDN record from a byte stream.","","","",""
"ReadKSDnsKEYRecord","Private","Reads properties for an KEY record from a byte stream.","","","",""
"ReadKSDnsKXRecord","Private","Reads properties for an KX record from a byte stream.","","","",""
"ReadKSDnsLOCRecord","Private","Reads properties for an LOC record from a byte stream.","","","",""
"ReadKSDnsMBRecord","Private","Reads properties for an MB record from a byte stream.","","","",""
"ReadKSDnsMDRecord","Private","Reads properties for an MD record from a byte stream.","","","",""
"ReadKSDnsMessage","Private","Reads a DNS message from a byte stream.","Chris Dent","Core Technologies","14/01/2015","Chris Dent"
"ReadKSDnsMessageHeader","Private","Reads a DNS message header from a byte stream.","","","",""
"ReadKSDnsMessageQuestion","Private","Reads a DNS question from a byte stream.","","","",""
"ReadKSDnsMFRecord","Private","Reads properties for an MF record from a byte stream.","","","",""
"ReadKSDnsMGRecord","Private","Reads properties for an MG record from a byte stream.","","","",""
"ReadKSDnsMINFORecord","Private","Reads properties for an MINFO record from a byte stream.","","","",""
"ReadKSDnsMRRecord","Private","Reads properties for an MR record from a byte stream.","","","",""
